Year	GDP
1947Q1	243.1
1947Q2	246.3
1947Q3	250.1
1947Q4	260.3
1948Q1	266.2
1948Q2	272.9
1948Q3	279.5
1948Q4	280.7
1949Q1	275.4
1949Q2	271.7
1949Q3	273.3
1949Q4	271.0
1950Q1	281.2
1950Q2	290.7
1950Q3	308.5
1950Q4	320.3
1951Q1	336.4
1951Q2	344.5
1951Q3	351.8
1951Q4	356.6
1952Q1	360.2
1952Q2	361.4
1952Q3	368.1
1952Q4	381.2
1953Q1	388.5
1953Q2	392.3
1953Q3	391.7
1953Q4	386.5
1954Q1	385.9
1954Q2	386.7
1954Q3	391.6
1954Q4	400.3
1955Q1	413.8
1955Q2	422.2
1955Q3	430.9
1955Q4	437.8
1956Q1	440.5
1956Q2	446.8
1956Q3	452.0
1956Q4	461.3
1957Q1	470.6
1957Q2	472.8
1957Q3	480.3
1957Q4	475.7
1958Q1	468.4
1958Q2	472.8
1958Q3	486.7
1958Q4	500.4
1959Q1	511.1
1959Q2	524.2
1959Q3	525.2
1959Q4	529.3
1960Q1	543.3
1960Q2	542.7
1960Q3	546.0
1960Q4	541.1
1961Q1	545.9
1961Q2	557.4
1961Q3	568.2
1961Q4	581.6
1962Q1	595.2
1962Q2	602.6
1962Q3	609.6
1962Q4	613.1
1963Q1	622.7
1963Q2	631.8
1963Q3	645.0
1963Q4	654.8
1964Q1	671.1
1964Q2	680.8
1964Q3	692.8
1964Q4	698.4
1965Q1	719.2
1965Q2	732.4
1965Q3	750.2
1965Q4	773.1
1966Q1	797.3
1966Q2	807.2
1966Q3	820.8
1966Q4	834.9
1967Q1	846.0
1967Q2	851.1
1967Q3	866.6
1967Q4	883.2
1968Q1	911.1
1968Q2	936.3
1968Q3	952.3
1968Q4	970.1
1969Q1	995.4
1969Q2	1011.4
1969Q3	1032.0
1969Q4	1040.7
1970Q1	1053.5
1970Q2	1070.1
1970Q3	1088.5
1970Q4	1091.5
1971Q1	1137.8
1971Q2	1159.4
1971Q3	1180.3
1971Q4	1193.6
1972Q1	1233.8
1972Q2	1270.1
1972Q3	1293.8
1972Q4	1332.0
1973Q1	1380.7
1973Q2	1417.6
1973Q3	1436.8
1973Q4	1479.1
1974Q1	1494.7
1974Q2	1534.2
1974Q3	1563.4
1974Q4	1603.0
1975Q1	1619.6
1975Q2	1656.4
1975Q3	1713.8
1975Q4	1765.9
1976Q1	1824.5
1976Q2	1856.9
1976Q3	1890.5
1976Q4	1938.4
1977Q1	1992.5
1977Q2	2060.2
1977Q3	2122.4
1977Q4	2168.7
1978Q1	2208.7
1978Q2	2336.6
1978Q3	2398.9
1978Q4	2482.2
1979Q1	2531.6
1979Q2	2595.9
1979Q3	2670.4
1979Q4	2730.7
1980Q1	2796.5
1980Q2	2799.9
1980Q3	2860.0
1980Q4	2993.5
1981Q1	3131.8
1981Q2	3167.3
1981Q3	3261.2
1981Q4	3283.5
1982Q1	3273.8
1982Q2	3331.3
1982Q3	3367.1
1982Q4	3407.8
1983Q1	3480.3
1983Q2	3583.8
1983Q3	3692.3
1983Q4	3796.1
1984Q1	3912.8
1984Q2	4015.0
1984Q3	4087.4
1984Q4	4147.6
1985Q1	4237.0
1985Q2	4302.3
1985Q3	4394.6
1985Q4	4453.1
1986Q1	4516.3
1986Q2	4555.2
1986Q3	4619.6
1986Q4	4669.4
1987Q1	4736.2
1987Q2	4821.5
1987Q3	4900.5
1987Q4	5022.7
1988Q1	5090.6
1988Q2	5207.7
1988Q3	5299.5
1988Q4	5412.7
1989Q1	5527.4
1989Q2	5628.4
1989Q3	5711.6
1989Q4	5763.4
1990Q1	5890.8
1990Q2	5974.7
1990Q3	6029.5
1990Q4	6023.3
1991Q1	6054.9
1991Q2	6143.6
1991Q3	6218.4
1991Q4	6279.3
1992Q1	6380.8
1992Q2	6492.3
1992Q3	6586.5
1992Q4	6697.6
1993Q1	6748.2
1993Q2	6829.6
1993Q3	6904.2
1993Q4	7032.8
1994Q1	7136.3
1994Q2	7269.8
1994Q3	7352.3
1994Q4	7476.7
1995Q1	7545.3
1995Q2	7604.9
1995Q3	7706.5
1995Q4	7799.5
1996Q1	7893.1
1996Q2	8061.5
1996Q3	8159.0
1996Q4	8287.1
1997Q1	8402.1
1997Q2	8551.9
1997Q3	8691.8
1997Q4	8788.3
1998Q1	8889.7
1998Q2	8994.7
1998Q3	9146.5
1998Q4	9325.7
1999Q1	9447.1
1999Q2	9557.0
1999Q3	9712.3
1999Q4	9926.1
2000Q1	10031.0
2000Q2	10278.3
2000Q3	10357.4
2000Q4	10472.3
2001Q1	10508.1
2001Q2	10638.4
2001Q3	10639.5
2001Q4	10701.3
2002Q1	10834.4
2002Q2	10934.8
2002Q3	11037.1
2002Q4	11103.8
2003Q1	11230.1
2003Q2	11370.7
2003Q3	11625.1
2003Q4	11816.8
2004Q1	11988.4
2004Q2	12181.4
2004Q3	12367.7
2004Q4	12562.2
2005Q1	12813.7
2005Q2	12974.1
2005Q3	13205.4
2005Q4	13381.6
2006Q1	13648.9
2006Q2	13799.8
2006Q3	13908.5
2006Q4	14066.4
2007Q1	14233.2
2007Q2	14422.3
2007Q3	14569.7
2007Q4	14685.3
2008Q1	14668.4
2008Q2	14813.0
2008Q3	14843.0
2008Q4	14549.9
2009Q1	14383.9
2009Q2	14340.4
2009Q3	14384.1
2009Q4	14566.5
2010Q1	14681.1
2010Q2	14888.6
2010Q3	15057.7
2010Q4	15230.2
2011Q1	15238.4
2011Q2	15460.9
2011Q3	15587.1
2011Q4	15785.3
2012Q1	15973.9
2012Q2	16121.9
2012Q3	16227.9
2012Q4	16297.3
2013Q1	16475.4
2013Q2	16541.4
2013Q3	16749.3
2013Q4	16999.9
2014Q1	17031.3
2014Q2	17320.9
2014Q3	17622.3
2014Q4	17735.9
2015Q1	17874.7
2015Q2	18093.2
2015Q3	18227.7
2015Q4	18287.2
2016Q1	18325.2
2016Q2	18538.0
2016Q3	18729.1
2016Q4	18905.5
2017Q1	19057.7
2017Q2	19250.0
2017Q3	19500.6
2017Q4	19754.1
2018Q1	19965.3
